                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                    nan,                    nan,                    nan,                0.00588,                0.00603,                 0.0035,                0.00139,                    nan,                    nan,                    nan,             0.00017558,             0.00017558,             0.00017558
                     41,                    nan,                    nan,                    nan,                0.00645,                0.00753,                0.00448,                0.00178,                    nan,                    nan,                    nan,             0.00017274,             0.00017274,             0.00017274
                     42,                    nan,                    nan,                    nan,                0.00533,                0.00603,                 0.0034,                0.00136,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     43,                    nan,                    nan,                    nan,                0.00383,                0.00431,                0.00239,                 0.0012,                    nan,                    nan,                    nan,             0.00016708,             0.00016708,             0.00016708
                     44,                    nan,                    nan,                    nan,                0.00345,                0.00431,                0.00212,                0.00106,                    nan,                    nan,                    nan,             0.00016425,             0.00016425,             0.00016425
                     45,                    nan,                    nan,                    nan,                0.00588,                0.00603,                0.00364,                0.00146,                    nan,                    nan,                    nan,             0.00016142,             0.00016142,             0.00016142
                     46,                    nan,                    nan,                    nan,                0.00657,                0.00603,                0.00419,                0.00174,                    nan,                    nan,                    nan,             0.00015859,             0.00015859,             0.00015859
                     47,                    nan,                    nan,                    nan,                0.00591,                0.00753,                0.00335,                0.00121,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     48,                    nan,                    nan,                    nan,                0.00202,                0.00322,                 0.0012,                0.00041,                    nan,                    nan,                    nan,             0.00015292,             0.00015292,             0.00015292
                     49,                    nan,                    nan,                    nan,                0.00705,                0.00753,                  0.004,                0.00178,                    nan,                    nan,                    nan,             0.00015009,             0.00015009,             0.00015009
                     50,                    nan,                    nan,                    nan,                 0.0071,                0.00903,                0.00408,                0.00185,                    nan,                    nan,                    nan,             0.00014726,             0.00014726,             0.00014726
                     51,                    nan,                    nan,                    nan,                0.00213,                0.00322,                0.00125,                0.00038,                    nan,                    nan,                    nan,             0.00014443,             0.00014443,             0.00014443
                     52,                    nan,                    nan,                    nan,                0.00739,                0.00603,                0.00433,                0.00184,                    nan,                    nan,                    nan,              0.0001416,              0.0001416,              0.0001416
                     53,                    nan,                    nan,                    nan,                0.00144,                0.00172,                0.00121,                0.00036,                    nan,                    nan,                    nan,             0.00013877,             0.00013877,             0.00013877
                     54,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00094,                0.00019,                    nan,                    nan,                    nan,             0.00013594,             0.00013594,             0.00013594
                     55,                    nan,                    nan,                    nan,                0.00444,                0.00603,                0.00296,                0.00135,                    nan,                    nan,                    nan,              0.0001331,              0.0001331,              0.0001331
                     56,                    nan,                    nan,                    nan,                0.00409,                0.00603,                0.00272,                0.00104,                    nan,                    nan,                    nan,             0.00013027,             0.00013027,             0.00013027
                     57,                    nan,                    nan,                    nan,                0.00674,                0.00603,                0.00413,                0.00169,                    nan,                    nan,                    nan,             0.00012744,             0.00012744,             0.00012744
                     58,                    nan,                    nan,                    nan,                0.00657,                0.00603,                0.00397,                0.00166,                    nan,                    nan,                    nan,             0.00012461,             0.00012461,             0.00012461
                     59,                    nan,                    nan,                    nan,                0.00203,                0.00322,                0.00127,                0.00037,                    nan,                    nan,                    nan,             0.00012178,             0.00012178,             0.00012178
                     60,                    nan,                    nan,                    nan,                0.00199,                0.00322,                0.00116,                0.00044,                    nan,                    nan,                    nan,             0.00011895,             0.00011895,             0.00011895
                     61,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00089,                  9e-05,                    nan,                    nan,                    nan,             0.00011612,             0.00011612,             0.00011612
                     62,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00089,                0.00027,                    nan,                    nan,                    nan,             0.00011328,             0.00011328,             0.00011328
                     63,                    nan,                    nan,                    nan,                0.00123,                0.00172,                 0.0009,                0.00027,                    nan,                    nan,                    nan,             0.00011045,             0.00011045,             0.00011045
                     64,                    nan,                    nan,                    nan,                0.00144,                0.00172,                  0.001,                 0.0002,                    nan,                    nan,                    nan,             0.00010762,             0.00010762,             0.00010762
                     65,                    nan,                    nan,                    nan,                0.00133,                0.00172,                0.00095,                0.00038,                    nan,                    nan,                    nan,             0.00010479,             0.00010479,             0.00010479
                     66,                    nan,                    nan,                    nan,                0.00657,                0.00603,                0.00395,                0.00174,                    nan,                    nan,                    nan,             0.00010196,             0.00010196,             0.00010196
                     67,                    nan,                    nan,                    nan,                0.00706,                0.00753,                0.00424,                0.00195,                    nan,                    nan,                    nan,             9.9128e-05,             9.9128e-05,             9.9128e-05
                     68,                    nan,                    nan,                    nan,                0.00716,                0.00753,                0.00426,                0.00212,                    nan,                    nan,                    nan,             9.6296e-05,             9.6296e-05,             9.6296e-05
                     69,                    nan,                    nan,                    nan,                 0.0071,                0.00753,                0.00416,                0.00191,                    nan,                    nan,                    nan,             9.3465e-05,             9.3465e-05,             9.3465e-05
                     70,                    nan,                    nan,                    nan,                0.00233,                0.00322,                0.00142,                0.00049,                    nan,                    nan,                    nan,             9.0633e-05,             9.0633e-05,             9.0633e-05
                     71,                    nan,                    nan,                    nan,                0.00222,                0.00322,                0.00148,                0.00055,                    nan,                    nan,                    nan,             8.7802e-05,             8.7802e-05,             8.7802e-05
